A行番号,A薬品名,B候補1,B行番号1,類似度1,B候補2,B行番号2,類似度2,B候補3,B行番号3,類似度3,B候補4,B行番号4,類似度4,B候補5,B行番号5,類似度5
1,アスコルビン酸注射液５００ｍｇ「トーワ」　　,アスコルビン酸注５００ｍｇ「イセイ」,10,78.94736842105263,アジスロマイシン錠２５０ｍｇ「トーワ」,8.0,61.53846153846154,ニコランジル錠５ｍｇ「トーワ」,370.0,57.14285714285714,ニセルゴリン錠５ｍｇ「トーワ」,371.0,57.14285714285714,メコバラミン錠５００「トーワ」,563.0,57.14285714285714
2,アセサイド消毒液６％　８００ｍｌｘ２,アセリオ静注液１０００ｍｇバッグ,17,35.29411764705882,アセレンド注１００μｇ,18.0,34.48275862068966,エビリファイ内用液０．１％　３ｍｌ,87.0,34.285714285714285,エビリファイ内用液０．１％　６ｍｌ,88.0,34.285714285714285,水溶性ハイドロコートン注射液１００ｍｇ,209.0,32.432432432432435
3,アゾセミド錠６０ｍｇ「ＤＳＥＰ」,アゾセミド錠３０ｍｇ「ＤＳＥＰ」,19,93.75,ゾニサミドＯＤ錠２５ｍｇＴＲＥ「ＤＳＥＰ」,250.0,64.86486486486487,セレコキシブ錠１００ｍｇ「ＤＳＥＰ」,240.0,64.70588235294117,カルベジロール錠１０ｍｇ「ＤＳＥＰ」,121.0,58.82352941176471,フロセミド錠２０ｍｇ「ＮＩＧ」,488.0,58.06451612903225
4,アトモキセチンカプセル１０ｍｇ　「ＶＴＲＳ」,アトモキセチンカプセル１０ｍｇ「サワイ」,28,71.42857142857143,アトモキセチンカプセル４０ｍｇ「ＶＴＲＳ」,29.0,65.11627906976744,ダラシンカプセル１５０ｍｇ,270.0,51.42857142857142,デュロキセチンカプセル２０ｍｇ「ＤＳＥＰ」,328.0,51.162790697674424,メキシチールカプセル５０ｍｇ,562.0,50.0
5,アトモキセチンカプセル４０ｍｇ　「サワイ」,アトモキセチンカプセル４０ｍｇ「ＶＴＲＳ」,29,71.42857142857143,アトモキセチンカプセル１０ｍｇ「サワイ」,28.0,68.29268292682926,デュロキセチンカプセル２０ｍｇ「ＤＳＥＰ」,328.0,52.38095238095239,メキシチールカプセル５０ｍｇ,562.0,51.42857142857142,トランサミンカプセル２５０ｍｇ,349.0,50.0
6,アナフラニール錠１０ｍｇ,トフラニール錠１０ｍｇ,344,86.95652173913044,アイトロール錠１０ｍｇ,170.0,69.56521739130434,アイトロール錠１０ｍｇ,319.0,69.56521739130434,ニューレプチル錠１０ｍｇ,380.0,66.66666666666667,フラジール腟錠２５０ｍｇ,467.0,66.66666666666667
7,アンテベート軟膏０．０５％,マイザー軟膏０．０５％,543,66.66666666666667,アズノール軟膏０．０３３％,11.0,61.53846153846154,ボアラ軟膏０．１２％,529.0,52.17391304347826,プロスタンディン軟膏０．００３％,487.0,48.275862068965516,アクトシン軟膏３％,5.0,45.45454545454546
8,イソプロパノール消毒液７０％　「ヨシダ」,カロナール細粒２０％,123,33.333333333333336,アイトロール錠１０ｍｇ,170.0,32.25806451612904,アイトロール錠１０ｍｇ,319.0,32.25806451612904,チモロール点眼液０．５％「ニッテン」,287.0,31.57894736842105,ポビドンヨードゲル１０％,537.0,31.25
9,ウインタミン細粒１０％　採用中止,ヒルナミン細粒１０％,445,53.84615384615385,ベンザリン細粒１％,526.0,48.0,ロキソニン細粒１０％,664.0,46.15384615384615,セパミット細粒１％,229.0,40.0,テプレノン細粒１０％「ＹＤ」,324.0,40.0
10,キシロカイン注ポリアンプ０．５％,キシロカイン注シリンジ０．５％,126,83.87096774193549,キシロカインポンプスプレー８％,127.0,64.51612903225806,モキシフロキサシン点眼液０．５％「サンド」,572.0,43.24324324324324,ゾシン静注用４．５,247.0,40.0,シクロスポリンカプセル５０ｍｇ「トーワ」,193.0,38.888888888888886
11,クービビック錠５０ｍｇ,クービビック錠２５ｍｇ,135,90.9090909090909,ビプレッソ徐放錠５０ｍｇ,431.0,60.86956521739131,ベオーバ錠５０ｍｇ,505.0,60.0,ビプレッソ徐放錠１５０ｍｇ,432.0,58.33333333333333,ダーブロック錠２ｍｇ,268.0,57.14285714285714
12,ケフレックスカプセル２５０ｍｇ,ケフラールカプセル２５０ｍｇ,166,75.86206896551724,ＥＰＬカプセル２５０ｍｇ,59.0,66.66666666666667,レルパックス錠２０ｍｇ,660.0,61.53846153846154,トランサミンカプセル２５０ｍｇ,349.0,60.0,イフェクサーＳＲカプセル７５ｍｇ,61.0,58.06451612903225
13,コートリル錠１０ｍｇ,セディール錠１０ｍｇ,226,70.0,リボトリール錠１ｍｇ,627.0,70.0,リマチル錠１００ｍｇ,628.0,70.0,アイトロール錠１０ｍｇ,170.0,66.66666666666667,タンボコール錠５０ｍｇ,284.0,66.66666666666667
14,コデインリン酸塩散１％「ホエイ」,モサプリドクエン酸塩散１％「日医工」,574,52.94117647058824,ゲンタマイシン硫酸塩軟膏０．１％「イワキ」,169.0,48.64864864864865,ニコチン酸アミド散１０％「ゾンネ」,369.0,48.484848484848484,ビペリデン塩酸塩細粒１％「アメル」,434.0,48.484848484848484,シベンゾリンコハク酸塩錠１００ｍｇ「サワイ」,201.0,47.36842105263158
15,コミナティ筋注シリンジ,イベニティ皮下注１０５ｍｇシリンジ,62,50.0,生食注シリンジ「ＮＰ」,223.0,45.45454545454546,ゼプリオン水懸筋注２５ｍｇシリンジ,233.0,42.85714285714286,ゼプリオン水懸筋注５０ｍｇシリンジ,234.0,42.85714285714286,ゼプリオン水懸筋注７５ｍｇシリンジ,235.0,42.85714285714286
16,スワブスティック　（ヘキシジン）,ブロムヘキシン塩酸塩０．２％吸入液,502,30.303030303030297,,,,,,,,,,,,
