A行番号,A薬品名,B候補1,B行番号1,類似度1,B候補2,B行番号2,類似度2,B候補3,B行番号3,類似度3,B候補4,B行番号4,類似度4,B候補5,B行番号5,類似度5
1,アトモキセチンカプセル10ｍｇ　「VTRS」,アトモキセチンカプセル１０ｍｇ「サワイ」,40,61.904761904761905,アトモキセチンカプセル１０ｍｇ「アメル」,41,61.904761904761905,アトモキセチンカプセル４０ｍｇ「サワイ」,42.0,61.904761904761905,アトモキセチンカプセル４０ｍｇ「アメル」,43.0,61.904761904761905,アトモキセチンカプセル４０ｍｇ「ＶＴＲＳ」,44.0,60.46511627906976
2,デカドロン注射液6.6ｍｇ,デカドロン注射液３．３ｍｇ,491,76.92307692307692,ハベカシン注射液７５ｍｇ,630,56.00000000000001,アキネトン注射液５ｍｇ,5.0,50.0,水溶性ハイドロコートン注射液１００ｍｇ,339.0,50.0,セルシン注射液１０ｍｇ,380.0,50.0
3,フォリアミン錠５ｍｇ,フォリアミン錠,723,82.35294117647058,サアミオン錠５ｍｇ,297,73.6842105263158,クレミン錠２５ｍｇ,262.0,63.1578947368421,フォシーガ錠５ｍｇ,722.0,63.1578947368421,レボトミン錠５ｍｇ,992.0,63.1578947368421
4,ブスコパン注20ｍｇ　2％,ブスコパン注２０ｍｇ,727,69.56521739130434,ブスコパン錠１０ｍｇ,726,60.86956521739131,イスコチン注１００ｍｇ,99.0,50.0,ボスミン注１ｍｇ,823.0,47.61904761904761,ガスコン錠４０ｍｇ,196.0,45.45454545454546
5,ブドウ糖,ブドウ糖＊（扶桑）,728,61.53846153846154,ブドウ糖注５％ＰＬ「フソー」,729,44.44444444444444,ブドウ糖注５％ＰＬ「フソー」,732.0,44.44444444444444,ブドウ糖注２０％ＰＬ「フソー」,730.0,42.10526315789473,ブドウ糖注５０％ＰＬ「フソー」,731.0,42.10526315789473
6,ブドウ糖注５％ＰＬ「フソー」20ｍｌ,ブドウ糖注５％ＰＬ「フソー」,729,87.5,ブドウ糖注５％ＰＬ「フソー」,732,87.5,ブドウ糖注５０％ＰＬ「フソー」,731.0,84.84848484848484,ブドウ糖注２０％ＰＬ「フソー」,730.0,78.78787878787878,注射用水ＰＬ「フソー」,458.0,55.172413793103445
7,フロセミド注20ｍｇ「NIG｣,フロセミド注２０ｍｇ「トーワ」,765,60.0,フロセミド錠２０ｍｇ「ＮＩＧ」,763,53.333333333333336,トラセミド錠４ｍｇ「ＫＯ」,547.0,42.85714285714286,アゾセミド錠３０ｍｇ「ＪＧ」,29.0,41.379310344827594,フェロミア錠５０ｍｇ,720.0,40.0
8,ロイコボリン注3ｍｇ,イスコチン注１００ｍｇ,99,57.14285714285714,ボスミン注１ｍｇ,823,55.55555555555556,トロペロン注４ｍｇ,576.0,52.63157894736843,ビソルボン注４ｍｇ,670.0,52.63157894736843,ハロマンス注５０ｍｇ,647.0,50.0
9,生食注シリンジ「NP」中口10ｍｌ,生食注シリンジ「ＮＰ」,357,64.28571428571428,生食注シリンジ「オーツカ」１０ｍＬ,356,58.82352941176471,イバンドロン酸静注１ｍｇシリンジ「トーワ」,102.0,36.8421052631579,エポジン注シリンジ３０００,156.0,33.333333333333336,ダルベポエチン　アルファＢＳ注３０μｇシリンジ「三和」,435.0,31.818181818181824
10,生理食塩液「VTRS」20ｍｌ,生理食塩液「ＶＴＲＳ」,358,53.84615384615385,生理食塩液「ＶＴＲＳ」,359,53.84615384615385,生食注シリンジ「オーツカ」１０ｍＬ,356.0,31.25,生食注シリンジ「ＮＰ」,357.0,30.76923076923077,,,
11,大塚生食注　　プラ細口　,大塚生食注,353,66.66666666666667,大塚生食注,354,66.66666666666667,,,,,,,,,
12,大塚生食注　ソフトバッグ,大塚生食注,353,58.82352941176471,大塚生食注,354,58.82352941176471,,,,,,,,,
13,大塚糖液５％　　　　　　　　　　　　　,大塚糖液５％,526,100.0,大塚糖液５％１００ｍｌ,733,70.58823529411764,大塚生食注,353.0,36.36363636363637,大塚生食注,354.0,36.36363636363637,タプロス点眼液０．００１５％,424.0,30.000000000000004
14,注射用水ＰＬ「フソー」20ｍｌ（スノープル）,注射用水ＰＬ「フソー」,458,66.66666666666667,注射用水ＰＬ「フソー」,459,66.66666666666667,ブドウ糖注５％ＰＬ「フソー」,729.0,44.44444444444444,ブドウ糖注５％ＰＬ「フソー」,732.0,44.44444444444444,ブドウ糖注２０％ＰＬ「フソー」,730.0,43.24324324324324
15,乳糖水和物「ケンエー」粒状,乳糖水和物,595,55.55555555555556,ポビドンヨードガーグル液７％「ケンエー」,827,36.36363636363637,注射用水ＰＬ「フソー」,458.0,33.333333333333336,注射用水ＰＬ「フソー」,459.0,33.333333333333336,,,
16,白色ワセリン「ケンエー」,白色ワセリン,626,66.66666666666667,ニセルゴリン錠５ｍｇ「トーワ」,588,44.44444444444444,ポビドンヨードガーグル液７％「ケンエー」,827.0,43.75,セルトラリン錠２５ｍｇ「明治」,381.0,37.03703703703704,センノシド錠１２ｍｇ「トーワ」,388.0,37.03703703703704
