A行番号,A薬品名,判定,候補1_薬品名,候補1_行番号
1,EK19　小青竜湯エキス細粒,薬価一致候補,クラシエ小青竜湯エキス細粒,98
2,アイファガン点眼液0.1％,薬価一致候補,アイファガン点眼液０．１％,1
3,アウィクリ注 フレックスタッチ 総量300単位,薬価一致候補,アウィクリ注 フレックスタッチ 総量３００単位,2
4,アキネトン細粒1％,薬価一致候補,アキネトン細粒１％,3
5,アズノール軟膏0.033%,不一致,,
6,アノーロエリプタ30吸入用,薬価一致候補,アノーロエリプタ３０吸入用,19
7,アミノレバンEN配合散　　　　　コーヒー味,不一致,,
8,アルメタ軟膏,完全一致,アルメタ軟膏,32
9,アレギサール点眼液0.1％　　　　販売中止,薬価一致候補,アレギサール点眼液０．１％,33
10,アレビアチン錠100ｍｇ,不一致,,
11,イノラス配合経腸用液（コーヒー）,薬価一致候補,ルボックス錠２５,335
12,エピペン注射液0.3ｍｇ,不一致,,
13,エンテカビルOD錠0.5ｍｇ「サワイ」,薬価一致候補,エンテカビルＯＤ錠０．５ｍｇ「サワイ」,68
14,オイラックスクリーム10%,不一致,,
15,オリブ油,不一致,,
16,グラナテック点眼液0.4％,薬価一致候補,グラナテック点眼液０．４％,101
17,クレナフィン爪外用液10％3.56ｇ,薬価一致候補,クレナフィン爪外用液１０％,106
18,サリベートエアゾール,完全一致,サリベートエアゾール,122
19,ジクアス点眼液3％,不一致,,
20,ジスバルカプセル40ｍｇ,薬価一致候補,ジスバルカプセル４０ｍｇ,124
21,スピリーバ2.5μｇレスピマット60吸入,薬価一致候補,スピリーバ２．５μｇレスピマット６０吸入,131
22,デカドロン注射液6.6ｍｇ,不一致,,
23,ドロキシドパカプセル100mg「アメル」,薬価一致候補,ドロキシドパカプセル１００ｍｇ「アメル」,209
24,ネオメドロールEE軟膏,不一致,,
25,ノウリアスト錠20ｍｇ,薬価一致候補,ノウリアスト錠２０ｍｇ,226
26,ヒアルロン酸Na点眼液0.1％「ニットー」,不一致,,
27,ビムパット錠100ｍｇ,薬価一致候補,ビムパット錠１００ｍｇ,249
28,ビムパット錠50ｍｇ　採用中止,薬価一致候補,ビムパット錠５０ｍｇ,248
29,ヒューマリンR注ミリオペン　300単位,薬価一致候補,ヒューマリンＲ注ミリオペン,251
30,ベタニス錠50ｍｇ,薬価一致候補,ベタニス錠５０ｍｇ,284
31,ユリス錠1ｍｇ,薬価一致候補,ユリス錠１ｍｇ,309
32,ランタスXR注ソロスター450単位,薬価一致候補,ランタスＸＲ注ソロスター,314
33,リスペリドン細粒1％「アメル」,薬価一致候補,リスペリドン細粒１％「アメル」,321
34,リフキシマ錠200ｍｇ,薬価一致候補,リフキシマ錠２００ｍｇ,329
35,ロイコボリン注3ｍｇ,不一致,,
36,重カマ「ヨシダ」（細粒状）,不一致,,
37,精製水「ケンエー」,不一致,,
38,静注用キシロカイン２％,完全一致,静注用キシロカイン２％,94
39,白色ワセリン「ケンエー」,不一致,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
