"薬品マスタ","2026/03/04"
"PK","","TZMYAKUHINMEISHO","TZMYAKUHIN","TZMYAKUHINBETSUKIHONJOHOKUBUN","","TZMYAKUKA","TZMYAKUHINMEISHO","TZMYAKUHIN","","TZMYAKUHINBETSUKIHONJOHOKUBUN",""
"YAKUHIN_CODE","","YAKUHIN_NM","HOST_CODE","SAIYO_DIV","","YAKKA","YAKUHIN_NM_KANA","ZAIKEI_CODE","","DOKUGEKIYAKU_DIV",""
"コード(区分値)","コード","名称","ホストコード","採用区分（区分値）(区分値)","採用区分（区分値）","薬価","カナ名称","剤形(区分値)","剤形","毒劇薬（区分値）(区分値)","毒劇薬（区分値）"
"ｱｲﾌ001","ｱｲﾌ001","アイファガン点眼液０．１％","ｱｲﾌｧ","0","","268.90000","ｱｲﾌｧｶﾞﾝﾃﾝｶﾞﾝｴｷ0.1%","021","点眼剤","0",""
"ｱｳｲ001","ｱｳｲ001","アウィクリ注 フレックスタッチ 総量３００単位","","0","","2081.00000","ｱｳｲｸﾘﾁﾕｳﾌﾚﾂｸｽﾀﾂﾁｿｳﾘﾖｳ300ﾀﾝｲ","025","注射剤","2",""
"ｱｴﾝ001","ｱｴﾝ001","亜鉛華軟膏「ニッコー」","ｱｴﾝｶﾅﾝ","1","","3.30000","ｱｴﾝｶﾅﾝｺｳ｢ﾆｯｺｰ｣","014","軟膏","0",""
"ｱｷﾈ001","ｱｷﾈ001","アキネトン細粒１％","ｱｷﾈﾄﾝｻ","0","","21.40000","ｱｷﾈﾄﾝｻｲﾘｭｳ1%","003","散","0",""
"ｱｷﾈ002","ｱｷﾈ002","アキネトン注射液５ｍｇ","ｱｷﾈﾄﾝﾁ","1","","61.00000","ｱｷﾈﾄﾝﾁｭｳｼｬｴｷ5mg","025","注射剤","2",""
"ｱｸｱ001","ｱｸｱ001","アクアチムクリーム１％","ｱｸｱﾁﾑ","1","","20.70000","ｱｸｱﾁﾑｸﾘｰﾑ1%","015","クリーム","0",""
"ｱｸﾁ002","ｱｸﾁ002","アクチット輸液","","1","","341.00000","ｱｸﾁﾂﾄﾕｴｷ","025","注射剤","0",""
"ｱｸﾄ001","ｱｸﾄ001","アクトシン軟膏３％","ｱｸﾄｼﾝ","1","","50.00000","ｱｸﾄｼﾝﾅﾝｺｳ3%","014","軟膏","0",""
"ｱｻﾙ001","ｱｻﾙ001","アザルフィジンＥＮ錠５００ｍｇ","ｱｻﾞﾙ1","2","","25.90000","ｱｻﾞﾙﾌｨｼﾞﾝENｼﾞｮｳ500mg","001","錠剤","0",""
"ｱｼｸ001","ｱｼｸ001","アシクロビル点滴静注用２５０ｍｇ「サワイ」","ｱｼｸﾛ","2","","368.00000","ｱｼｸﾛﾋﾞﾙﾃﾝﾃｷｼﾞｮｳﾁｭｳﾖｳ250mg｢ｻﾜｲ｣","025","注射剤","0",""
"ｱｼｽ001","ｱｼｽ001","アジスロマイシン錠２５０ｍｇ「トーワ」","ｱｼﾞｽ","1","","60.70000","ｱｼﾞｽﾛﾏｲｼﾝｼﾞｮｳ250mg｢ﾄｰﾜ｣","001","錠剤","0",""
"ｱｼﾙ001","ｱｼﾙ001","アジルバ錠１０ｍｇ","ｱｼﾞﾙ1","0","","50.10000","ｱｼﾞﾙﾊﾞｼﾞｮｳ10mg","001","錠剤","0",""
"ｱｼﾙ002","ｱｼﾙ002","アジルバ錠２０ｍｇ","ｱｼﾞﾙ","0","","76.30000","ｱｼﾞﾙﾊﾞｼﾞｮｳ20mg","001","錠剤","0",""
"ｱｼﾙ003","ｱｼﾙ003","アジルサルタンＯＤ錠２０ｍｇ「サワイ」","","1","","27.40000","ｱｼﾞﾙｻﾙﾀﾝODｼﾞﾖｳ20MGｻﾜｲ","001","錠剤","0",""
"ｱｽｺ001","ｱｽｺ001","アスコルビン酸注射液５００ｍｇ「日医工」","ｱｽｺ","0","","84.00000","ｱｽｺﾙﾋﾞﾝｻﾝﾁｭｳｼｬｴｷ500mg｢ﾆﾁｲｺｳ｣","025","注射剤","0",""
"ｱｽｺ002","ｱｽｺ002","アスコルビン酸注射液５００ｍｇ「トーワ」","","0","","100.00000","ｱｽｺﾙﾋﾞﾝｻﾝﾁﾕｳｼﾔｴｷ500MGﾄ-ﾜ","025","注射剤","0",""
